Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Fantasy_Score,Score_Difference,PLAYER_SHORT
447133,2023,22200548,A.J. Green,MIL,1-Jan-23,MIL vs. WAS,L,19,4,7,0.571,2,5,0.4,0,0,0.0,0,3,3,0,1,0,1,1,10,-9,1,10,5.095238095238095,AG
447123,2023,22200706,A.J. Green,MIL,23-Jan-23,MIL @ DET,W,5,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,-13,1,0,-4.904761904761905,AG
447132,2023,22200561,A.J. Green,MIL,3-Jan-23,MIL vs. WAS,W,9,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-8,1,0,-4.904761904761905,AG
447131,2023,22200569,A.J. Green,MIL,4-Jan-23,MIL @ TOR,W,13,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,0,1,0,0,1,5,21,1,5,0.0952380952380949,AG
447130,2023,22200583,A.J. Green,MIL,6-Jan-23,MIL vs. CHA,L,18,5,8,0.625,3,6,0.5,0,0,0.0,0,3,3,2,0,0,0,1,13,6,1,13,8.095238095238095,AG
447129,2023,22200620,A.J. Green,MIL,11-Jan-23,MIL @ ATL,W,6,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,1,3,-9,1,3,-1.904761904761905,AG
447113,2023,22201193,A.J. Green,MIL,5-Apr-23,MIL vs. CHI,,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,-4.904761904761905,AG
447114,2023,22201136,A.J. Green,MIL,29-Mar-23,MIL @ IND,W,18,3,7,0.429,3,6,0.5,0,0,0.0,0,1,1,1,0,0,0,1,9,-1,1,9,4.095238095238095,AG
447115,2023,22201045,A.J. Green,MIL,16-Mar-23,MIL vs. IND,L,8,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-5,1,0,-4.904761904761905,AG
447116,2023,22201033,A.J. Green,MIL,14-Mar-23,MIL @ PHX,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,5,1,0,-4.904761904761905,AG
447117,2023,22200973,A.J. Green,MIL,5-Mar-23,MIL @ WAS,W,6,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,1,1,0,-4.904761904761905,AG
447118,2023,22200939,A.J. Green,MIL,1-Mar-23,MIL vs. ORL,W,17,4,7,0.571,4,7,0.571,0,0,0.0,0,2,2,1,0,0,0,2,12,3,1,12,7.095238095238095,AG
447119,2023,22200924,A.J. Green,MIL,28-Feb-23,MIL @ BKN,W,3,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,0,0,-1,1,0,-4.904761904761905,AG
447120,2023,22200897,A.J. Green,MIL,24-Feb-23,MIL vs. MIA,W,19,2,6,0.333,2,5,0.4,0,0,0.0,0,1,1,4,1,0,1,2,6,15,1,6,1.095238095238095,AG
447121,2023,22200883,A.J. Green,MIL,16-Feb-23,MIL @ CHI,W,23,5,8,0.625,5,7,0.714,0,0,0.0,0,2,2,1,0,0,0,1,15,-2,1,15,10.095238095238095,AG
447122,2023,22200845,A.J. Green,MIL,10-Feb-23,MIL @ LAC,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,0,-4.904761904761905,AG
447124,2023,22200695,A.J. Green,MIL,21-Jan-23,MIL @ CLE,L,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9,1,0,-4.904761904761905,AG
447125,2023,22200665,A.J. Green,MIL,17-Jan-23,MIL vs. TOR,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,0,-1,1,0,-4.904761904761905,AG
447126,2023,22200657,A.J. Green,MIL,16-Jan-23,MIL vs. IND,W,12,2,7,0.286,2,6,0.333,0,0,0.0,0,0,0,1,1,0,0,2,6,-8,1,6,1.095238095238095,AG
447127,2023,22200641,A.J. Green,MIL,14-Jan-23,MIL @ MIA,L,17,3,7,0.429,3,6,0.5,0,0,0.0,0,1,1,0,0,0,0,0,9,-5,1,9,4.095238095238095,AG
447128,2023,22200628,A.J. Green,MIL,12-Jan-23,MIL @ MIA,L,19,5,10,0.5,5,10,0.5,0,0,0.0,1,2,3,0,0,0,0,1,15,-1,1,15,10.095238095238095,AG
688350,2023,22200881,A.J. Lawson,DAL,15-Feb-23,DAL @ DEN,L,12,4,6,0.667,2,3,0.667,0,0,0.0,1,1,2,0,1,0,0,1,10,-9,1,10,7.090909090909091,AL
688360,2023,22200577,A.J. Lawson,DAL,5-Jan-23,DAL vs. BOS,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,1,0,-2.909090909090909,AL
688359,2023,22200593,A.J. Lawson,DAL,7-Jan-23,DAL vs. NOP,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,0,-2.909090909090909,AL
688358,2023,22200602,A.J. Lawson,DAL,8-Jan-23,DAL @ OKC,L,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,0,-2.909090909090909,AL
688357,2023,22200617,A.J. Lawson,DAL,10-Jan-23,DAL @ LAC,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,-2.909090909090909,AL
688356,2023,22200647,A.J. Lawson,DAL,14-Jan-23,DAL @ POR,L,7,1,4,0.25,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,3,4,1,3,0.09090909090909083,AL
688355,2023,22200654,A.J. Lawson,DAL,15-Jan-23,DAL @ POR,L,5,2,2,1.0,1,1,1.0,1,1,1.0,0,1,1,0,0,0,0,1,6,3,1,6,3.090909090909091,AL
688354,2023,22200686,A.J. Lawson,DAL,20-Jan-23,DAL vs. MIA,W,4,2,2,1.0,1,1,1.0,0,2,0.0,0,0,0,0,0,0,0,1,5,-3,1,5,2.090909090909091,AL
688353,2023,22200750,A.J. Lawson,DAL,28-Jan-23,DAL @ UTA,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,-2.909090909090909,AL
688352,2023,22200800,A.J. Lawson,DAL,4-Feb-23,DAL @ GSW,L,11,2,4,0.5,1,3,0.333,0,0,0.0,1,3,4,0,0,0,0,1,5,4,1,5,2.090909090909091,AL
688351,2023,22200813,A.J. Lawson,DAL,6-Feb-23,DAL @ UTA,W,12,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,0,0,0,1,3,3,1,1,3,0.09090909090909083,AL
460087,2023,22200763,AJ Griffin,ATL,30-Jan-23,ATL @ POR,L,21,4,9,0.444,3,4,0.75,2,2,1.0,0,1,1,0,0,0,0,2,13,-2,1,13,5.846153846153846,AG
460088,2023,22200745,AJ Griffin,ATL,28-Jan-23,ATL vs. LAC,L,12,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,2,3,-8,1,3,-4.153846153846154,AG
460090,2023,22200708,AJ Griffin,ATL,23-Jan-23,ATL @ CHI,L,31,4,7,0.571,3,5,0.6,0,0,0.0,0,3,3,2,0,0,0,0,11,-8,1,11,3.846153846153846,AG
460091,2023,22200694,AJ Griffin,ATL,21-Jan-23,ATL vs. CHA,L,23,5,7,0.714,3,3,1.0,0,0,0.0,0,2,2,3,1,0,0,2,13,0,1,13,5.846153846153846,AG
460092,2023,22200684,AJ Griffin,ATL,20-Jan-23,ATL vs. NYK,W,17,1,4,0.25,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,11,1,3,-4.153846153846154,AG
460093,2023,22200670,AJ Griffin,ATL,18-Jan-23,ATL @ DAL,W,22,3,4,0.75,2,2,1.0,2,2,1.0,0,2,2,0,0,0,0,2,10,10,1,10,2.846153846153846,AG
460094,2023,22200661,AJ Griffin,ATL,16-Jan-23,ATL vs. MIA,W,20,5,6,0.833,2,3,0.667,0,0,0.0,0,3,3,2,0,0,0,1,12,9,1,12,4.846153846153846,AG
460095,2023,22200644,AJ Griffin,ATL,14-Jan-23,ATL @ TOR,W,23,5,7,0.714,3,5,0.6,0,0,0.0,0,4,4,0,0,0,0,3,13,1,1,13,5.846153846153846,AG
460096,2023,22200633,AJ Griffin,ATL,13-Jan-23,ATL @ IND,W,14,4,8,0.5,0,2,0.0,0,0,0.0,1,0,1,1,0,1,2,0,8,-17,1,8,0.8461538461538458,AG
460097,2023,22200620,AJ Griffin,ATL,11-Jan-23,ATL vs. MIL,L,16,3,6,0.5,1,3,0.333,0,0,0.0,0,2,2,1,0,0,0,1,7,3,1,7,-0.1538461538461542,AG
460098,2023,22200604,AJ Griffin,ATL,8-Jan-23,ATL @ LAC,W,11,3,3,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,1,0,0,7,3,1,7,-0.1538461538461542,AG
460099,2023,22200590,AJ Griffin,ATL,6-Jan-23,ATL @ LAL,L,15,2,3,0.667,1,2,0.5,0,0,0.0,0,2,2,0,0,0,1,1,5,-15,1,5,-2.153846153846154,AG
460100,2023,22200575,AJ Griffin,ATL,4-Jan-23,ATL @ SAC,W,17,2,6,0.333,1,5,0.2,0,0,0.0,0,1,1,2,0,1,0,1,5,8,1,5,-2.153846153846154,AG
460101,2023,22200558,AJ Griffin,ATL,2-Jan-23,ATL @ GSW,L,15,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-2,1,2,-5.153846153846154,AG
460089,2023,22200725,AJ Griffin,ATL,25-Jan-23,ATL @ OKC,W,23,2,4,0.5,1,3,0.333,4,4,1.0,0,4,4,3,2,0,1,0,9,22,1,9,1.8461538461538458,AG
460077,2023,22200911,AJ Griffin,ATL,26-Feb-23,ATL vs. BKN,W,13,0,3,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,1,2,9,1,2,-5.153846153846154,AG
460078,2023,22200896,AJ Griffin,ATL,24-Feb-23,ATL vs. CLE,W,18,4,7,0.571,1,2,0.5,0,0,0.0,1,0,1,2,0,0,0,2,9,3,1,9,1.8461538461538458,AG
460079,2023,22200876,AJ Griffin,ATL,15-Feb-23,ATL vs. NYK,L,15,6,12,0.5,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,12,-3,1,12,4.846153846153846,AG
460080,2023,22200857,AJ Griffin,ATL,13-Feb-23,ATL @ CHA,L,17,2,7,0.286,0,1,0.0,2,2,1.0,1,3,4,1,0,0,0,1,6,-13,1,6,-1.1538461538461542,AG
460081,2023,22200850,AJ Griffin,ATL,11-Feb-23,ATL vs. SAS,W,17,1,7,0.143,0,3,0.0,0,0,0.0,0,3,3,0,0,0,1,2,2,-7,1,2,-5.153846153846154,AG
460082,2023,22200832,AJ Griffin,ATL,9-Feb-23,ATL vs. PHX,W,15,3,7,0.429,0,1,0.0,0,2,0.0,0,0,0,0,0,0,0,2,6,5,1,6,-1.1538461538461542,AG
460083,2023,22200818,AJ Griffin,ATL,7-Feb-23,ATL @ NOP,L,18,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,0,0,1,0,1,5,3,1,5,-2.153846153846154,AG
460084,2023,22200801,AJ Griffin,ATL,4-Feb-23,ATL @ DEN,L,26,6,11,0.545,1,3,0.333,2,2,1.0,1,1,2,4,0,0,1,1,15,-3,1,15,7.846153846153846,AG
460085,2023,22200792,AJ Griffin,ATL,3-Feb-23,ATL @ UTA,W,14,2,6,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,2,5,2,1,5,-2.153846153846154,AG
460086,2023,22200777,AJ Griffin,ATL,1-Feb-23,ATL @ PHX,W,19,2,3,0.667,1,1,1.0,0,0,0.0,0,2,2,2,1,0,1,2,5,18,1,5,-2.153846153846154,AG
460076,2023,22200923,AJ Griffin,ATL,28-Feb-23,ATL vs. WAS,L,16,1,4,0.25,0,3,0.0,0,0,0.0,0,2,2,2,0,0,0,3,2,0,1,2,-5.153846153846154,AG
